date,open,high,low,close,adjusted_close,volume,warning,Stock
2025-04-09,157.0,162.0,152.0,154.0,154.0,108000.0,Data is limited by one year as you have free subscription,ASPI
2025-04-09,99.0,101.0,96.0,98.0,98.0,26722600.0,Data is limited by one year as you have free subscription,ASRI
2025-04-09,292.0,298.0,292.0,294.0,280.0,5040.0,Data is limited by one year as you have free subscription,ASRM
2025-04-09,454.0,466.0,452.0,456.0,430.1081,5414800.0,Data is limited by one year as you have free subscription,ASSA
2025-04-09,28.0,28.0,27.0,27.0,27.0,117400.0,Data is limited by one year as you have free subscription,ATAP
2025-04-09,416.0,422.0,410.0,412.0,412.0,109300.0,Data is limited by one year as you have free subscription,ATIC
2025-04-09,50.0,50.0,50.0,50.0,49.1017,207700.0,Data is limited by one year as you have free subscription,ATLA
2025-04-09,1810.0,1865.0,1810.0,1850.0,1697.598,1559900.0,Data is limited by one year as you have free subscription,AUTO
2025-04-09,382.0,388.0,378.0,380.0,360.7637,8077100.0,Data is limited by one year as you have free subscription,AVIA
2025-04-09,286.0,302.0,280.0,296.0,296.0,22137700.0,Data is limited by one year as you have free subscription,AWAN
2025-04-09,102.0,108.0,98.0,104.0,97.8468,426600.0,Data is limited by one year as you have free subscription,AXIO
2025-04-09,141.0,142.0,139.0,141.0,141.0,130022200.0,Data is limited by one year as you have free subscription,AYAM
2025-04-09,56.0,59.0,56.0,57.0,57.0,1030800.0,Data is limited by one year as you have free subscription,AYLS
2025-04-09,50.0,50.0,50.0,50.0,50.0,387100.0,Data is limited by one year as you have free subscription,BABP
2025-04-09,260.0,270.0,260.0,268.0,268.0,9961100.0,Data is limited by one year as you have free subscription,BABY
2025-04-09,128.0,129.0,128.0,129.0,129.0,1017300.0,Data is limited by one year as you have free subscription,BACA
2025-04-09,73.0,73.0,70.0,71.0,71.0,1684200.0,Data is limited by one year as you have free subscription,BAIK
2025-04-09,75.0,75.0,71.0,71.0,71.0,219500.0,Data is limited by one year as you have free subscription,BAJA
2025-04-09,1180.0,1180.0,1135.0,1165.0,1119.845,9100.0,Data is limited by one year as you have free subscription,BALI
2025-04-09,765.0,790.0,760.0,790.0,790.0,599400.0,Data is limited by one year as you have free subscription,BANK
2025-04-09,50.0,50.0,50.0,50.0,50.0,100.0,Data is limited by one year as you have free subscription,BAPA
2025-04-09,7.0,8.0,7.0,7.0,7.0,2866900.0,Data is limited by one year as you have free subscription,BAPI
2025-04-09,51.0,51.0,50.0,51.0,51.0,264200.0,Data is limited by one year as you have free subscription,BATA
