stock_id,symbol,category_id
818,TITLE,7
819,TKC,6
821,TLI,6
822,TM,6
823,TMAN,6
824,TMC,6
825,TMD,6
826,TMI,6
827,TMILL,6
828,TMT,6
829,TMW,6
830,TNDT,6
831,TNH,6
832,TNITY,7
833,TNL,6
834,TNP,6
835,TNPC,6
836,TNPF,17
837,TNR,6
838,TOPP,1
839,TPA,6
840,TPAC,6
841,TPCS,6
842,TPL,6
843,TPLAS,6
844,TPOLY,6
845,TPP,6
846,TPRIME,6
847,TPS,6
848,TQM,6
849,TQR,6
850,TR,6
851,TRITN,7
852,TRP,6
853,TRT,6
854,TRU,6
855,TRUBB,6
856,TRV,6
857,TSE,6
858,TSI,6
859,TSTH,6
860,TTI,6
861,TTLPF,17
862,TTT,6
865,TVDH,6
868,TVT,6
869,TWP,6
871,TWZ,6
872,TYCN,6
873,UAC,1
874,UBA,1
877,UEC,1
878,UKEM,1
880,UMS,1
882,UOBKH,1
884,UPF,17
885,UPOIC,1
886,UREKA,1
887,UTP,1
888,VARO,1
892,VIH,3
893,VL,1
895,VPO,1
897,VS,1
898,WACOAL,7
899,WARRIX,7
901,WFX,7
904,WHABT,7
905,WHAIR,7
906,WHART,7
908,WICE,5
910,WINDOW,7
912,WINNER,7
914,WP,7
916,XBIO,7
917,XO,7
919,YGG,7
920,YONG,7
921,YUASA,7
922,ZAA,7
