symbol,company_name_th,sector,roe,pe_ratio,de_ratio
PRM,บริษัท พริมา มารีน จำกัด (มหาชน),Energy,20.558001,8.265306,84.896
PYLON,บริษัท ไพลอน จำกัด (มหาชน),Industrials,20.4,17.444445,7.566
TKN,บริษัท เถ้าแก่น้อย ฟู๊ดแอนด์มาร์เก็ตติ้ง จำกัด (มหาชน),Consumer Defensive,20.261998000000002,14.333333,42.704
TTW,บริษัท ทีทีดับบลิว จำกัด (มหาชน),Utilities,20.212,11.52439,35.826
SIS,บริษัท เอสไอเอส ดิสทริบิวชั่น (ประเทศไทย) จำกัด (มหาชน),Technology,20.186001,9.36,28.081
SKIN,บริษัท สกิน ลาบอราทอรี่ จำกัด (มหาชน),Consumer Defensive,20.179,10.333334,1.709
WPH,บริษัท โรงพยาบาลวัฒนแพทย์ ตรัง จำกัด (มหาชน),Healthcare,20.113,16.195652,60.808
FLOYD,บริษัท ฟลอยด์ จำกัด (มหาชน),Industrials,20.054,4.9130435,
KAMART,บริษัท คาร์มาร์ท จำกัด (มหาชน),Consumer Defensive,20.049,17.26415,23.13
SAPPE,บริษัท เซ็ปเป้ จำกัด (มหาชน),Consumer Defensive,19.974001,11.818182,0.915
SNNP,บริษัท ศรีนานาพร มาร์เก็ตติ้ง จำกัด (มหาชน),Consumer Defensive,19.947,11.076923,92.799
SDC,บริษัท สามารถ ดิจิตอล จำกัด (มหาชน),Technology,19.832,inf,403.69
TSI,บริษัท ไทยเศรษฐกิจประกันภัย จำกัด (มหาชน),Financial Services,19.604999,3.0,11.044
RCL,บริษัท อาร์ ซี แอล จำกัด (มหาชน),Industrials,19.587,3.248731,31.542
JAS,บริษัท จัสมิน อินเตอร์เนชั่นแนล จำกัด (มหาชน),Communication Services,19.415002,5.0,20.807
TQR,บริษัท ที คิว อาร์ จำกัด (มหาชน),Financial Services,19.408001,11.704546,1.411
MC,บริษัท แม็คกรุ๊ป จำกัด (มหาชน),Consumer Cyclical,19.351,12.234042,31.362
SEI,บริษัท เอสอีไอ เมดิคัล จำกัด (มหาชน),Healthcare,19.253999,7.375,30.655
TPS,บริษัท เดอะแพรคทิเคิลโซลูชั่น จำกัด (มหาชน),Technology,19.232,8.51282,11.47
AU,บริษัท อาฟเตอร์ ยู จำกัด (มหาชน),Consumer Cyclical,19.062,16.290323,22.82
SECURE,บริษัท เอ็นฟอร์ซ ซีเคียว จำกัด (มหาชน),Technology,19.058001,9.696969,2.759
SMPC,บริษัท สหมิตรถังแก๊ส จำกัด (มหาชน),Industrials,19.014,8.348214,3.108
KK,บริษัท เคแอนด์เค ซุปเปอร์สโตร์ เซาท์เทิร์น จำกัด (มหาชน),Consumer Defensive,19.014,25.25,87.167
AAV,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),Industrials,18.738002,15.125001,317.196
YUASA,บริษัท ยัวซ่าแบตเตอรี่ ประเทศไทย จำกัด (มหาชน),Consumer Cyclical,18.6,6.4473686,0.442
KJL,บริษัท กิจเจริญ เอ็นจิเนียริ่ง อีเลคทริค จำกัด (มหาชน),Industrials,18.394,7.905405,66.24
KTC,บริษัท บัตรกรุงไทย จำกัด (มหาชน),Financial Services,18.016,10.761589,129.809
TOA,บริษัท ทีโอเอ เพ้นท์ (ประเทศไทย) จำกัด (มหาชน),Basic Materials,17.977999999999998,12.558141,8.963
KDH,บริษัท ธนบุรี เมดิเคิล เซ็นเตอร์ จำกัด (มหาชน),Healthcare,17.833,10.885014,0.635
READY,บริษัท เรดดี้แพลนเน็ต จำกัด (มหาชน),Technology,17.179,9.812501,2.115
