symbol,company_name,industry_group,sector,market_cap,beta,current_price,dividend_yield
MII,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า เอ็มเอฟซี อินดัสเตรียล อินเวสเมนท์,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,832480000.0,,4.84,
MIPF,กองทุนรวมอสังหาริมทรัพย์มิลเลียนแนร์,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,1767000064.0,,9.3,
MAJOR,บริษัท เมเจอร์ ซีนีเพล็กซ์ กรุ้ป จำกัด (มหาชน),Entertainment,Communication Services,5726133248.0,0.291,7.85,3.13
MALEE,บริษัท มาลีกรุ๊ป จำกัด (มหาชน),Packaged Foods,Consumer Defensive,2510363648.0,,4.6,2.13
MNIT,กองทุนรวมอสังหาริมทรัพย์เอ็มเอฟซี-นิชดาธานี,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,260820000.0,,1.89,
MNIT2,กองทุนรวมอสังหาริมทรัพย์นิชดาธานี 2,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,690000000.0,,5.0,
MNRF,กองทุนรวมอสังหาริมทรัพย์มัลติเนชั่นแนลเรสซิเดนซ์ฟันด์,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,227899984.0,,2.12,
NUT,บริษัท นูทริชั่น โปรเฟส จำกัด (มหาชน),Household & Personal Products,Consumer Defensive,492000000.0,,4.1,16.2
NWR,บริษัทเนาวรัตน์พัฒนาการ จำกัด (มหาชน),Engineering & Construction,Industrials,103419256.0,0.663,0.04,
ONSENS,บริษัท ออนเซ็น รีทรีต แอนด์ สปา กรุ๊ป จำกัด (มหาชน),Leisure,Consumer Cyclical,345000000.0,,1.15,1.53
